collectedEggs	startDate	sampleDate	age	id	larvalTreat	adultTreat	deadFemale	deadMale	censored	camera_id	numEggs	remark
2/9/2018	2/20/2018	3/19/2018	27	EE_DR_DR2	DR	DR	16	6	1	9820	309	
2/9/2018	2/20/2018	3/19/2018	27	EE_DR_C2	DR	C	45	5	0	9817	174	
2/9/2018	2/20/2018	3/19/2018	27	EE_C_DR2	C	DR	10	3	0	9819	327	
2/9/2018	2/20/2018	3/19/2018	27	EE_C_C2	C	C	22	5	0	9818	31	
2/8/2018	2/20/2018	3/21/2018	29	EE_DR_DR1	DR	DR	3	4	1	9827	72	
2/8/2018	2/20/2018	3/21/2018	29	EE_DR_C1	DR	C	3	2	0	9826	221	
2/8/2018	2/20/2018	3/21/2018	29	EE_C_C1	C	C	5	1	0	9828	7	
2/8/2018	2/20/2018	3/21/2018	29	EE_C_DR1	C	DR	4	4	0	9831	35	
2/9/2018	2/20/2018	3/21/2018	29	EE_DR_DR2	DR	DR	10	0	1	9829	129	
2/9/2018	2/20/2018	3/21/2018	29	EE_DR_C2	DR	C	25	4	0	9830	125	
2/9/2018	2/20/2018	3/21/2018	29	EE_C_DR2	C	DR	13	2	0	9825	37	
2/9/2018	2/20/2018	3/21/2018	29	EE_C_C2	C	C	6	4	0	9832	42	
2/8/2018	2/20/2018	3/23/2018	31	EE_DR_DR1	DR	DR	7	5	0	9948	56	
2/8/2018	2/20/2018	3/23/2018	31	EE_DR_C1	DR	C	9	14	0	9949	38	
2/8/2018	2/20/2018	3/23/2018	31	EE_C_C1	C	C	1	5	0	9947	11	
2/8/2018	2/20/2018	3/23/2018	31	EE_C_DR1	C	DR	4	7	0	9950	53	
2/9/2018	2/20/2018	3/23/2018	31	EE_DR_DR2	DR	DR	17	6	0	9946	55	
2/9/2018	2/20/2018	3/23/2018	31	EE_DR_C2	DR	C	22	18	0	9953	78	
2/9/2018	2/20/2018	3/23/2018	31	EE_C_DR2	C	DR	8	8	0	9951	19	
2/9/2018	2/20/2018	3/23/2018	31	EE_C_C2	C	C	6	11	0	9952	23	
2/8/2018	2/20/2018	3/26/2018	34	EE_DR_DR1	DR	DR	13	11	1	9922	123	
2/8/2018	2/20/2018	3/26/2018	34	EE_DR_C1	DR	C	5	12	1	9923	24	
2/8/2018	2/20/2018	3/26/2018	34	EE_C_C1	C	C	5	10	0	9927	19	
2/8/2018	2/20/2018	3/26/2018	34	EE_C_DR1	C	DR	3	13	1	9926	16	
2/9/2018	2/20/2018	3/26/2018	34	EE_DR_DR2	DR	DR	15	13	1	9928	316	
2/9/2018	2/20/2018	3/26/2018	34	EE_DR_C2	DR	C	12	11	0	9929	55	
2/9/2018	2/20/2018	3/26/2018	34	EE_C_DR2	C	DR	26	25	0	9924	130	
2/9/2018	2/20/2018	3/26/2018	34	EE_C_C2	C	C	13	5	0	9925	23	
2/8/2018	2/20/2018	3/28/2018	36	EE_DR_DR1	DR	DR	7	5	0	9960	77	
2/8/2018	2/20/2018	3/28/2018	36	EE_DR_C1	DR	C	11	8	0	9957	8	
2/8/2018	2/20/2018	3/28/2018	36	EE_C_C1	C	C	0	2	1	9956	14	
2/8/2018	2/20/2018	3/28/2018	36	EE_C_DR1	C	DR	4	8	0	9959	20	
2/9/2018	2/20/2018	3/28/2018	36	EE_DR_DR2	DR	DR	7	10	0	9961	100	
2/9/2018	2/20/2018	3/28/2018	36	EE_DR_C2	DR	C	20	17	0	9954	14	
2/9/2018	2/20/2018	3/28/2018	36	EE_C_DR2	C	DR	7	3	0	9955	99	
2/9/2018	2/20/2018	3/28/2018	36	EE_C_C2	C	C	3	6	0	9958	31	
2/8/2018	2/20/2018	3/30/2018	38	EE_DR_DR1	DR	DR	8	7	0	9972	11	
2/8/2018	2/20/2018	3/30/2018	38	EE_DR_C1	DR	C	6	8	0	9976	20	
2/8/2018	2/20/2018	3/30/2018	38	EE_C_C1	C	C	1	6	0	9974	8	
2/8/2018	2/20/2018	3/30/2018	38	EE_C_DR1	C	DR	5	7	0	9973	9	
2/9/2018	2/20/2018	3/30/2018	38	EE_DR_DR2	DR	DR	11	10	1	9971	31	
2/9/2018	2/20/2018	3/30/2018	38	EE_DR_C2	DR	C	9	17	0	9977	5	
2/9/2018	2/20/2018	3/30/2018	38	EE_C_DR2	C	DR	9	10	0	9970	22	
2/9/2018	2/20/2018	3/30/2018	38	EE_C_C2	C	C	8	6	0	9975	10	
2/8/2018	2/20/2018	4/2/2018	41	EE_DR_DR1	DR	DR	13	4	0	9834	19	4
2/8/2018	2/20/2018	4/2/2018	41	EE_DR_C1	DR	C	10	4	0	9841	14	4
2/8/2018	2/20/2018	4/2/2018	41	EE_C_C1	C	C	4	3	0	9838	5	1
2/8/2018	2/20/2018	4/2/2018	41	EE_C_DR1	C	DR	2	1	0	9837	9	5
2/9/2018	2/20/2018	4/2/2018	41	EE_DR_DR2	DR	DR	23	7	0	9836	17	4
2/9/2018	2/20/2018	4/2/2018	41	EE_DR_C2	DR	C	17	4	0	9839	18	3
2/9/2018	2/20/2018	4/2/2018	41	EE_C_DR2	C	DR	19	6	1	9835	24	6
2/9/2018	2/20/2018	4/2/2018	41	EE_C_C2	C	C	7	4	0	9840	4	3
2/8/2018	2/20/2018	4/4/2018	43	EE_DR_DR1	DR	DR	6	3	1	9843	25	
2/8/2018	2/20/2018	4/4/2018	43	EE_DR_C1	DR	C	5	0	0	9847	22	
2/8/2018	2/20/2018	4/4/2018	43	EE_C_C1	C	C	6	4	4	9849	13	
2/8/2018	2/20/2018	4/4/2018	43	EE_C_DR1	C	DR	3	3	0	9842	4	
2/9/2018	2/20/2018	4/4/2018	43	EE_DR_DR2	DR	DR	12	3	0	9846	9	
2/9/2018	2/20/2018	4/4/2018	43	EE_DR_C2	DR	C	10	8	2	9845	21	
2/9/2018	2/20/2018	4/4/2018	43	EE_C_DR2	C	DR	9	5	2	9844	9	
2/9/2018	2/20/2018	4/4/2018	43	EE_C_C2	C	C	4	4	1	9848	8	
2/8/2018	2/20/2018	4/6/2018	45	EE_DR_DR1	DR	DR	5	2	2	9852	17	
2/8/2018	2/20/2018	4/6/2018	45	EE_DR_C1	DR	C	24	2	1	9856	11	
2/8/2018	2/20/2018	4/6/2018	45	EE_C_C1	C	C	1	1	0	9850	9	
2/8/2018	2/20/2018	4/6/2018	45	EE_C_DR1	C	DR	3	3	6	9853	6	
2/9/2018	2/20/2018	4/6/2018	45	EE_DR_DR2	DR	DR	17	5	0	9854	34	
2/9/2018	2/20/2018	4/6/2018	45	EE_DR_C2	DR	C	11	6	1	9851	11	
2/9/2018	2/20/2018	4/6/2018	45	EE_C_DR2	C	DR	16	4	3	9855	20	
2/9/2018	2/20/2018	4/6/2018	45	EE_C_C2	C	C	11	3	1	9857	17	
2/8/2018	2/20/2018	4/9/2018	48	EE_DR_DR1	DR	DR	10	4	3	9865	18	
2/8/2018	2/20/2018	4/9/2018	48	EE_DR_C1	DR	C	6	2	0	9861	6	
2/8/2018	2/20/2018	4/9/2018	48	EE_C_C1	C	C	8	4	1	9860	26	
